gene,I0774,I0785,I0861,I0803,I0885,I0740,I0846,I0851,I0761,I0787,I0838,I0734,I0745,I0769,I0847,I0848,I0883,I0766,I0828,I0884,I0843,I0863,I0875
ZFAS1,11.63709915,11.09593608,11.60738977,10.68271106,11.37948428,10.58921308,10.69721487,11.240641,11.27594468,11.24692237,10.75602242,10.82603077,10.99239316,11.26250045,11.31934271,11.39128174,11.38177041,10.50498649,10.81869563,11.38163992,11.47258437,11.32677064,11.06968004
TGIF1,10.51070915,10.28352132,10.70384882,10.15008695,10.61040977,11.09937152,10.82847154,10.86938345,10.69636731,10.6581658,10.0348551,10.03004559,9.905064584,10.87060688,10.71187907,10.87123367,10.59792262,10.49487888,10.26746561,10.76316978,10.5411642,10.69444002,9.936322986
CAVIN1,7.024994375,7.290442726,7.201652289,7.25810971,7.409520142,6.904987791,7.657529189,7.566401147,7.226652821,7.225476133,7.121528965,6.99712863,7.058931427,6.976675694,7.270748135,7.107884857,6.94663269,7.387755401,7.36664548,7.319734714,7.233533846,7.138118366,7.163843217
C18orf32,7.895203705,7.917082207,8.084857424,7.828653216,7.953720968,8.93306658,9.075893555,8.885220864,7.875191016,8.131047141,7.782930692,7.662480554,7.922921932,8.273655601,7.922512284,8.046144203,7.902978548,8.030915289,7.845865903,7.8635376,8.005981376,7.93645759,7.761475413
TMEM94,10.10759487,10.27972522,10.33875179,10.55929853,10.66703294,11.51729199,11.54348208,11.22015333,10.60605244,10.81036438,10.56442149,10.44708258,10.41212201,10.59687363,10.71933861,10.44243586,10.64844567,11.34458543,10.69323904,10.63113858,10.59122469,10.60596322,10.23784503
SOX12,8.518694074,8.359725789,8.197622264,8.294446898,8.771256012,9.173336659,9.577752368,9.093427195,8.551095614,8.957542853,8.660771675,8.464161022,8.372000289,8.543882742,8.906455305,8.39741463,8.829013353,8.859388632,8.440825922,8.273618837,8.511694412,8.424339112,8.488663511
GRB2,12.84444131,12.77922454,12.89175526,12.85220102,12.9149079,12.79470591,12.4674807,12.47607,13.00359837,12.99239635,12.82863247,12.77484923,12.76396389,13.0914937,12.96324107,12.97271351,12.89723134,13.57643703,12.80933142,12.92319859,12.87681411,13.04732834,12.80709381
NDUFV2,8.146092229,7.882458485,7.962525544,8.134220753,8.101909589,7.206910856,8.051778156,7.962976067,8.073863493,8.14651432,8.173084766,8.344676786,8.372000289,7.888905816,7.758414195,7.788259122,8.119025758,7.228297088,8.060364398,8.252149414,8.435040815,7.828127696,7.578418731
TMPRSS9,7.972159918,7.02618442,7.212993652,6.615786759,8.040254146,6.555151319,7.007788318,6.820620154,6.965958447,8.087636981,6.844895113,6.801987306,6.587574855,6.94309525,7.655519303,6.944125496,7.952075563,7.183230911,6.968630971,7.650313915,8.0869472,7.215414859,6.609497183
RPL10P16,7.272255015,7.433977779,7.006902896,7.019035757,7.135883502,7.712950873,7.463724118,7.643026018,7.614662125,7.111880729,6.833556782,7.314857861,7.376878401,7.29329931,7.045111203,7.177621428,6.77534443,7.164802742,6.990817246,6.744011579,6.979668209,7.103680023,7.193552823
KLHL11,9.108470736,9.175499093,8.950018542,8.805247653,8.953253519,8.251073921,8.51914497,8.504806409,8.806452946,8.824439316,8.958281574,8.761429544,9.030209474,8.719442229,8.640672456,8.874255831,8.901628019,8.124477258,8.657419234,8.881842281,8.93794546,8.518848524,8.881376514
ERN1,11.46849159,11.52624827,11.46761253,11.5851497,11.46148051,12.84808425,12.8275988,12.64348159,11.35625852,11.51911322,11.39459419,11.41814536,11.32455189,11.35265042,11.48354327,11.30172096,11.50684554,10.90539658,11.50804496,11.42964719,11.65504437,11.40663224,11.10658664
EFCAB13,6.576736922,6.269081109,6.297539101,6.275137979,6.188957732,7.041092845,7.94724355,7.620462824,6.2540057,6.136130363,6.443874379,6.663584776,6.195833507,6.045735308,5.994363631,6.0977449,6.306735777,6.785114755,6.147709039,6.338157049,6.352112385,6.217378753,6.454528673
CYBC1,12.01444954,12.29964643,12.00204506,11.85577038,11.87011309,11.89372963,11.7570969,11.67217809,11.5152178,11.66351723,11.90064453,11.82799627,11.80005843,11.62653306,11.71597415,11.47618287,11.637654,11.84461924,12.09731891,11.56095434,11.63008631,11.5674264,11.88885439
ZBTB7A,11.55733996,11.82409127,11.67096633,11.88858052,11.90944023,12.31062823,12.063823,12.21378543,11.85344969,12.06860081,11.92588924,11.79453251,11.75751155,12.01214085,11.88848196,11.87379652,11.88103386,12.03674071,11.91173431,11.81176867,11.82291902,11.88849276,11.69215987
FARSA,12.528164,12.42759283,12.66589277,12.49065166,12.80540506,10.42253624,10.03910826,10.06122521,12.75138205,12.90756502,12.60973794,12.41113708,12.44694025,12.94208515,12.81346332,12.8561486,12.7251935,12.08317194,12.4788957,12.52425904,12.77608685,12.89266303,12.60866513
CALR,14.55367255,14.87544413,14.71669195,15.02470995,14.95372352,13.80368222,13.14538145,13.19238047,14.98416978,14.94334758,15.07076134,14.99865442,15.03153815,14.96778852,14.90998834,14.89756065,14.81619637,15.08875646,15.04773302,14.78675567,14.83109582,14.98633742,14.98917347
RAD23A,12.42904955,12.28077873,12.59722665,12.32615931,12.63570929,11.18051256,11.0820738,10.934854,12.58442141,12.720968,12.28732889,12.14409476,12.08249959,12.79631324,12.62036735,12.64028232,12.50330725,12.13852152,12.28126843,12.4665869,12.57897781,12.74406869,12.14631743
GADD45GIP1,11.14143779,11.19600459,11.26254551,11.09281561,11.28886815,9.825362894,9.424281491,9.90040304,11.30776344,11.55939309,11.19474873,11.06243676,11.27880745,11.6488372,11.35398585,11.34971604,11.24891258,10.69996737,11.05945873,11.08114703,11.21208928,11.4183559,11.67558794
CDC42EP4,6.079554114,6.596542074,6.16367069,6.444146096,6.262797647,6.782378429,6.319859612,6.545194954,5.979928816,6.26925414,6.39842747,6.383951762,6.251024817,6.147527498,6.364252728,6.048961082,5.967883717,7.661901126,6.557522137,5.887340349,6.003476617,6.058639693,6.335209581
