ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
PTGDR2,-2.7165323930000023,6.438900704782609,-19.199283675563002,7.397153821175559e-14,1.1350029915248494e-11,21.9960921318305
MHENCR,-2.9195700240000004,7.323704492391304,-19.197913340198475,7.406677377371808e-14,1.1350029915248494e-11,21.99481321362699
NDFIP2,5.847672082333334,12.16808403578261,19.14151767778852,7.810002696847012e-14,1.181848658100374e-11,21.942100127257888
TNFRSF4,5.625089573,13.374989727869565,19.10919706895303,8.051489731429845e-14,1.2033498109714778e-11,21.91181972237904
"NAMPT",4.809224866666668,14.59156018173913,19.081519048017338,8.264522362954949e-14,1.2090667137618616e-11,21.885847999884973
PAICS,3.609061169000002,13.173683326652174,19.078324618358536,8.28948762945932e-14,1.2090667137618616e-11,21.882848070748803
CISH,4.385489062333333,12.736034254043478,19.016474685845743,8.788798820136068e-14,1.2666333156734197e-11,21.82466462725029
TUBA1C,3.395121360666666,12.503726554695652,18.990527803762788,9.007581962814273e-14,1.28289161460976e-11,21.800199459157227
HSPD1,3.5779140066666635,14.665083366086956,18.908253023865555,9.739951266418357e-14,1.3710680236193096e-11,21.722401414474557
PGAM1,2.970658289666668,12.484137587434782,18.834522026796538,1.0449456361297076e-13,1.4540358472397976e-11,21.652394479216397
DDX21,3.6132432633333327,14.94953489173913,18.813322444100184,1.0663354759563232e-13,1.4605308014351908e-11,21.63221505389676
TSR1,3.052648193666668,12.457318223,18.80075366405982,1.0792337498424246e-13,1.4605308014351908e-11,21.62024039758928
PUM3,3.0656159033333363,12.12965374173913,18.794409064350486,1.0858068076091786e-13,1.4605308014351908e-11,21.614192675528464
RASA3,-2.583444113333334,10.655422437652174,-18.737816159796907,1.146331516465135e-13,1.524998828387574e-11,21.56015773444509
PNPO,2.2881693783333326,10.018270502,18.714417161269456,1.1723821752034843e-13,1.5427020231536284e-11,21.537768868892
CLPB,2.0272088666666654,10.191560707826087,18.638299864473375,1.2615127805601842e-13,1.6421369592969455e-11,21.46474450577651
TUBB,2.571858833333332,14.637281139130435,18.606490194334267,1.3008436637821745e-13,1.675320573802873e-11,21.434139559536156
ODC1,3.601023903333335,14.122713837826087,18.55916800592506,1.3617548000600684e-13,1.7206694501264975e-11,21.388513375561335
HPDL,3.1076608189999995,8.391844827652173,18.55710104861939,1.3644826302010884e-13,1.7206694501264975e-11,21.38651786768309
TNF,5.395661062333337,13.684611317086956,18.456165772432715,1.5049250926739322e-13,1.8778506311324367e-11,21.288802723353534
SORD,2.277664733666664,9.657650899347827,18.445823023263525,1.5201500235501305e-13,1.8778506311324367e-11,21.278760067906106
NCL,2.535474353333333,15.753463539130435,18.394083226441413,1.5987791199087253e-13,1.9550323258197e-11,21.228437734637406
RCN1,3.080834230333336,10.71282661647826,18.33893753741949,1.6873039518682275e-13,2.042650164131676e-11,21.17464859118578
LRRC59,2.3120909066666684,12.281966261304348,18.224904251454845,1.8870893787453702e-13,2.2532618440651292e-11,21.062912403306232
LINGO3,-3.481873229666668,6.88908019026087,-18.218777853700985,1.8985024623710817e-13,2.2532618440651292e-11,21.056889931123138
ATP5F1B,1.6233887533333284,14.348426198260869,18.198798291344993,1.9362294098486476e-13,2.2757274986046337e-11,21.03723543087801
BATF,3.484614688666669,12.064775648434782,18.156795818704452,2.0181320253741513e-13,2.3491832979980267e-11,20.995846996606808
COPRS,2.3667523186666664,9.773819419652174,18.123747758035396,2.0851282075839523e-13,2.404053531524888e-11,20.96321583303808
MORN3,-2.6694856630000023,6.929724770086956,-18.080247293937976,2.1768935136574682e-13,2.486176686446916e-11,20.920174887062853
